method,subset,k,agent_acc,step_acc,agent@k,step@k
step_by_step,alg_generated,1,40.476190476190474,24.6031746031746,40.48,24.6
step_by_step,alg_generated,3,69.84126984126983,52.38095238095239,69.84,52.38
step_by_step,alg_generated,5,75.39682539682539,61.111111111111114,75.4,61.11
step_by_step,alg_generated,10,75.39682539682539,61.904761904761905,75.4,61.9
step_by_step,handcrafted,1,18.96551724137931,8.620689655172415,18.97,8.62
step_by_step,handcrafted,3,36.206896551724135,31.03448275862069,36.21,31.03
step_by_step,handcrafted,5,44.827586206896555,36.206896551724135,44.83,36.21
step_by_step,handcrafted,10,50.0,41.37931034482759,50.0,41.38
all_at_once,alg_generated,1,62.698412698412696,7.936507936507936,62.7,7.94
all_at_once,alg_generated,3,62.698412698412696,7.936507936507936,62.7,7.94
all_at_once,alg_generated,5,62.698412698412696,7.936507936507936,62.7,7.94
all_at_once,alg_generated,10,62.698412698412696,7.936507936507936,62.7,7.94
all_at_once,handcrafted,1,29.310344827586203,5.172413793103448,29.31,5.17
all_at_once,handcrafted,3,29.310344827586203,5.172413793103448,29.31,5.17
all_at_once,handcrafted,5,29.310344827586203,5.172413793103448,29.31,5.17
all_at_once,handcrafted,10,29.310344827586203,5.172413793103448,29.31,5.17
text_grad,handcrafted,1,12.068965517241379,3.4482758620689653,12.07,3.45
text_grad,handcrafted,3,36.206896551724135,24.137931034482758,36.21,24.14
text_grad,handcrafted,5,46.55172413793103,39.6551724137931,46.55,39.66
text_grad,handcrafted,10,51.724137931034484,50.0,51.72,50.0
text_grad,alg_generated,1,50.0,30.952380952380953,50.0,30.95
text_grad,alg_generated,3,73.01587301587301,56.34920634920635,73.02,56.35
text_grad,alg_generated,5,76.19047619047619,62.698412698412696,76.19,62.7
text_grad,alg_generated,10,76.19047619047619,64.28571428571429,76.19,64.29
